date,hour,systemMarginalPrice
2026-03-24T21:00:00+03:00,2026-03-24T21:00:00+03:00,2124.99
2026-03-24T22:00:00+03:00,2026-03-24T22:00:00+03:00,1705.0
2026-03-24T23:00:00+03:00,2026-03-24T23:00:00+03:00,439.47
2026-03-25T00:00:00+03:00,2026-03-25T00:00:00+03:00,1.0
2026-03-25T01:00:00+03:00,2026-03-25T01:00:00+03:00,0.0
2026-03-25T02:00:00+03:00,2026-03-25T02:00:00+03:00,0.0
2026-03-25T03:00:00+03:00,2026-03-25T03:00:00+03:00,0.0
2026-03-25T04:00:00+03:00,2026-03-25T04:00:00+03:00,0.0
2026-03-25T05:00:00+03:00,2026-03-25T05:00:00+03:00,0.0
2026-03-25T06:00:00+03:00,2026-03-25T06:00:00+03:00,0.0
2026-03-25T07:00:00+03:00,2026-03-25T07:00:00+03:00,1.0
2026-03-25T08:00:00+03:00,2026-03-25T08:00:00+03:00,90.0
2026-03-25T09:00:00+03:00,2026-03-25T09:00:00+03:00,80.0
2026-03-25T10:00:00+03:00,2026-03-25T10:00:00+03:00,0.0
2026-03-25T11:00:00+03:00,2026-03-25T11:00:00+03:00,0.0
2026-03-25T12:00:00+03:00,2026-03-25T12:00:00+03:00,0.0
2026-03-25T13:00:00+03:00,2026-03-25T13:00:00+03:00,0.0
2026-03-25T14:00:00+03:00,2026-03-25T14:00:00+03:00,0.0
2026-03-25T15:00:00+03:00,2026-03-25T15:00:00+03:00,0.0
2026-03-25T16:00:00+03:00,2026-03-25T16:00:00+03:00,0.0
2026-03-25T17:00:00+03:00,2026-03-25T17:00:00+03:00,1.0
2026-03-25T18:00:00+03:00,2026-03-25T18:00:00+03:00,1102.0
2026-03-25T19:00:00+03:00,2026-03-25T19:00:00+03:00,3399.92
2026-03-25T20:00:00+03:00,2026-03-25T20:00:00+03:00,3399.0
2026-03-25T21:00:00+03:00,2026-03-25T21:00:00+03:00,3210.0
2026-03-25T22:00:00+03:00,2026-03-25T22:00:00+03:00,1705.0
2026-03-25T23:00:00+03:00,2026-03-25T23:00:00+03:00,500.0
2026-03-26T00:00:00+03:00,2026-03-26T00:00:00+03:00,200.01
2026-03-26T01:00:00+03:00,2026-03-26T01:00:00+03:00,500.0
2026-03-26T02:00:00+03:00,2026-03-26T02:00:00+03:00,950.0
2026-03-26T03:00:00+03:00,2026-03-26T03:00:00+03:00,1200.0
2026-03-26T04:00:00+03:00,2026-03-26T04:00:00+03:00,1200.01
2026-03-26T05:00:00+03:00,2026-03-26T05:00:00+03:00,1349.99
2026-03-26T06:00:00+03:00,2026-03-26T06:00:00+03:00,1500.0
2026-03-26T07:00:00+03:00,2026-03-26T07:00:00+03:00,800.0
2026-03-26T08:00:00+03:00,2026-03-26T08:00:00+03:00,3399.52
2026-03-26T09:00:00+03:00,2026-03-26T09:00:00+03:00,3399.93
2026-03-26T10:00:00+03:00,2026-03-26T10:00:00+03:00,3199.0
2026-03-26T11:00:00+03:00,2026-03-26T11:00:00+03:00,2034.0
2026-03-26T12:00:00+03:00,2026-03-26T12:00:00+03:00,1300.0
2026-03-26T13:00:00+03:00,2026-03-26T13:00:00+03:00,798.0
2026-03-26T14:00:00+03:00,2026-03-26T14:00:00+03:00,200.01
2026-03-26T15:00:00+03:00,2026-03-26T15:00:00+03:00,0.0
2026-03-26T16:00:00+03:00,2026-03-26T16:00:00+03:00,1.0
2026-03-26T17:00:00+03:00,2026-03-26T17:00:00+03:00,800.0
2026-03-26T18:00:00+03:00,2026-03-26T18:00:00+03:00,3400.0
2026-03-26T19:00:00+03:00,2026-03-26T19:00:00+03:00,3400.0
2026-03-26T20:00:00+03:00,2026-03-26T20:00:00+03:00,3400.0
2026-03-26T21:00:00+03:00,2026-03-26T21:00:00+03:00,3400.0
2026-03-26T22:00:00+03:00,2026-03-26T22:00:00+03:00,3390.0
2026-03-26T23:00:00+03:00,2026-03-26T23:00:00+03:00,3236.0
2026-03-27T00:00:00+03:00,2026-03-27T00:00:00+03:00,2199.99
2026-03-27T01:00:00+03:00,2026-03-27T01:00:00+03:00,2475.0
2026-03-27T02:00:00+03:00,2026-03-27T02:00:00+03:00,2047.35
2026-03-27T03:00:00+03:00,2026-03-27T03:00:00+03:00,2047.35
2026-03-27T04:00:00+03:00,2026-03-27T04:00:00+03:00,1861.23
2026-03-27T05:00:00+03:00,2026-03-27T05:00:00+03:00,1890.0
2026-03-27T06:00:00+03:00,2026-03-27T06:00:00+03:00,2047.35
2026-03-27T07:00:00+03:00,2026-03-27T07:00:00+03:00,2000.0
2026-03-27T08:00:00+03:00,2026-03-27T08:00:00+03:00,2475.0
2026-03-27T09:00:00+03:00,2026-03-27T09:00:00+03:00,1861.23
2026-03-27T10:00:00+03:00,2026-03-27T10:00:00+03:00,0.0
2026-03-27T11:00:00+03:00,2026-03-27T11:00:00+03:00,0.0
2026-03-27T12:00:00+03:00,2026-03-27T12:00:00+03:00,0.0
2026-03-27T13:00:00+03:00,2026-03-27T13:00:00+03:00,0.0
2026-03-27T14:00:00+03:00,2026-03-27T14:00:00+03:00,0.0
2026-03-27T15:00:00+03:00,2026-03-27T15:00:00+03:00,0.0
2026-03-27T16:00:00+03:00,2026-03-27T16:00:00+03:00,0.0
2026-03-27T17:00:00+03:00,2026-03-27T17:00:00+03:00,125.0
2026-03-27T18:00:00+03:00,2026-03-27T18:00:00+03:00,200.0
2026-03-27T19:00:00+03:00,2026-03-27T19:00:00+03:00,3390.0
2026-03-27T20:00:00+03:00,2026-03-27T20:00:00+03:00,3390.0
2026-03-27T21:00:00+03:00,2026-03-27T21:00:00+03:00,500.0
2026-03-27T22:00:00+03:00,2026-03-27T22:00:00+03:00,9.0
2026-03-27T23:00:00+03:00,2026-03-27T23:00:00+03:00,0.0
2026-03-28T00:00:00+03:00,2026-03-28T00:00:00+03:00,0.0
2026-03-28T01:00:00+03:00,2026-03-28T01:00:00+03:00,0.0
2026-03-28T02:00:00+03:00,2026-03-28T02:00:00+03:00,0.0
2026-03-28T03:00:00+03:00,2026-03-28T03:00:00+03:00,0.0
